Label,Text
titre,CODE DE L'URBANISME
titre,TITRE 1 INTENTIONS DU RÈGLEMENT
titre,TITRE 2 DÉCLARATIONS ET EXPLICATIONS GÉNÉRALES
titre,TITRE 3 LOTISSEMENT
titre,TITRE 4 CONSTRUCTION
titre,TITRE 5 AMÉNAGEMENT SUR L'ENSEMBLE DU TERRITOIRE
titre,TITRE 6 USAGES
titre,TITRE 7 TYPES DE MILIEUX
titre,"TITRE 8 TERRITOIRES, PROJETS ET BÂTIMENTS PARTICULIERS"
titre,TITRE 9 DROITS ACQUIS
titre,TITRE 10 ADMINISTRATION ET PROCÉDURES
chapitre,CHAPITRE 1 INTENTIONS DU RÈGLEMENT Reusing topic #UUID-ed9a0d6c-162a-3987-b8ff-70f1aa0fae6b Reusing topic #UUID-35805b99-85e7-0acb-e1de-0b9947a916ea Reusing topic #UUID-313b995d-90d1-31b4-98d9-e37844be2f9a Reusing topic #UUID-4aa2f786-b44e-460b-ba97-d5266c5d23ca Reusing topic #UUID-e551f8d0-a148-ee82-03b2-719a155ae05b
chapitre,CHAPITRE 1 DISPOSITIONS DÉCLARATOIRES
chapitre,CHAPITRE 2 FONCTIONNEMENT
chapitre,CHAPITRE 3 INTERPRÉTATION
chapitre,CHAPITRE 4 DESCRIPTIONS ET EXPLICATIONS
section,SECTION 1 Territoire et application
section,SECTION 2 Lois et règlements
section,SECTION 3 Documents annexés
section,SECTION 4 Remplacement
article,1. Ce règlement s’applique à l’ensemble du territoire de la Ville.
article,"2. Un lot , un terrain , un bâtiment , une construction , un équipement , un ouvrage , un aménagement ou une partie de ceux-ci doit être loti, construit, occupé ou utilisé conformément à ce règlement. Les travaux exécutés sur un lot, un terrain, un bâtiment, une construction, un équipement, un ouvrage, un aménagement ou une partie de ceux-ci doivent être exécutés conformément à ce règlement."
article,3. Aucune disposition de ce règlement ne peut avoir pour effet de soustraire une personne à l’application d’une loi ou d’un règlement de juridiction provinciale ou fédérale ou d’un autre règlement municipal.
